0.8111 (+/-0.016) for {'classifier__C': 1.5, 'classifier__class_weight': None, 'classifier__gamma': 0.05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.8111 (+/-0.016) for {'classifier__C': 1.5, 'classifier__class_weight': None, 'classifier__gamma': 0.05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.8111 (+/-0.016) for {'classifier__C': 1.5, 'classifier__class_weight': None, 'classifier__gamma': 0.05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.8113 (+/-0.018) for {'classifier__C': 1.5, 'classifier__class_weight': None, 'classifier__gamma': 0.05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.8113 (+/-0.018) for {'classifier__C': 1.5, 'classifier__class_weight': None, 'classifier__gamma': 0.05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.8113 (+/-0.018) for {'classifier__C': 1.5, 'classifier__class_weight': None, 'classifier__gamma': 0.05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.8116 (+/-0.017) for {'classifier__C': 1.5, 'classifier__class_weight': None, 'classifier__gamma': 0.05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.8116 (+/-0.017) for {'classifier__C': 1.5, 'classifier__class_weight': None, 'classifier__gamma': 0.05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.8116 (+/-0.017) for {'classifier__C': 1.5, 'classifier__class_weight': None, 'classifier__gamma': 0.05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.8154 (+/-0.026) for {'classifier__C': 1.5, 'classifier__class_weight': None, 'classifier__gamma': 0.07, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.8154 (+/-0.026) for {'classifier__C': 1.5, 'classifier__class_weight': None, 'classifier__gamma': 0.07, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.8154 (+/-0.026) for {'classifier__C': 1.5, 'classifier__class_weight': None, 'classifier__gamma': 0.07, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
