0.1480 (+/-0.010) for {'classifier__C': 0.0625, 'classifier__class_weight': None, 'classifier__gamma': 0.25, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1480 (+/-0.010) for {'classifier__C': 0.0625, 'classifier__class_weight': None, 'classifier__gamma': 0.25, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1480 (+/-0.010) for {'classifier__C': 0.0625, 'classifier__class_weight': None, 'classifier__gamma': 0.25, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1480 (+/-0.010) for {'classifier__C': 0.0625, 'classifier__class_weight': None, 'classifier__gamma': 0.25, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1480 (+/-0.010) for {'classifier__C': 0.0625, 'classifier__class_weight': None, 'classifier__gamma': 0.25, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1480 (+/-0.010) for {'classifier__C': 0.0625, 'classifier__class_weight': None, 'classifier__gamma': 0.25, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1480 (+/-0.010) for {'classifier__C': 0.0625, 'classifier__class_weight': None, 'classifier__gamma': 0.25, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1480 (+/-0.010) for {'classifier__C': 0.0625, 'classifier__class_weight': None, 'classifier__gamma': 0.25, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.0625, 'classifier__class_weight': None, 'classifier__gamma': 0.5, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.0625, 'classifier__class_weight': None, 'classifier__gamma': 0.5, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.0625, 'classifier__class_weight': None, 'classifier__gamma': 0.5, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.0625, 'classifier__class_weight': None, 'classifier__gamma': 0.5, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.0625, 'classifier__class_weight': None, 'classifier__gamma': 0.5, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.0625, 'classifier__class_weight': None, 'classifier__gamma': 0.5, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.0625, 'classifier__class_weight': None, 'classifier__gamma': 0.5, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
