0.7225 (+/-0.025) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__degree': 2, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7225 (+/-0.025) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__degree': 2, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.7232 (+/-0.023) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__degree': 2, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.7232 (+/-0.023) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__degree': 2, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.7232 (+/-0.023) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__degree': 2, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.5827 (+/-0.031) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__degree': 3, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.5827 (+/-0.031) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__degree': 3, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.5827 (+/-0.031) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__degree': 3, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.5828 (+/-0.030) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__degree': 3, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.5828 (+/-0.030) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__degree': 3, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.5828 (+/-0.030) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__degree': 3, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.5843 (+/-0.031) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__degree': 3, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.5843 (+/-0.031) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__degree': 3, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.5843 (+/-0.031) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__degree': 3, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.6084 (+/-0.035) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__degree': 4, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.6084 (+/-0.035) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__degree': 4, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.6084 (+/-0.035) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__degree': 4, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.6069 (+/-0.034) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__degree': 4, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.6069 (+/-0.034) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__degree': 4, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.6069 (+/-0.034) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__degree': 4, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.6072 (+/-0.034) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__degree': 4, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.6072 (+/-0.034) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__degree': 4, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.6072 (+/-0.034) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__degree': 4, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.5050 (+/-0.025) for {'classifier__C': 0.125, 'classifier__class_weight': None, 'classifier__degree': 1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
